Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC-dev,GC-out,GC,Len,MD,PD,Organelle,Origin
NW_012385730.1,0,8,0,0,0,1.67,0,42.2,3.1,0.0,0.0,0,GCA_000233375.4
NW_012385685.1,0,8,0,0,0,2.67,0,43.2,3.1,0.0,0.0,0,GCA_000233375.4
NW_012385604.1,0,8,0,0,0,1.98,0,42.52,3.11,0.0,0.0,0,GCA_000233375.4
NW_012385583.1,0,7,1,0,0,1.2,0,41.74,3.12,0.0,0.0,0,GCA_000233375.4
NW_012385537.1,0,8,0,0,0,2.54,0,43.07,3.12,0.0,0.0,0,GCA_000233375.4
NW_012385513.1,0,8,0,0,0,1.73,0,42.26,3.13,0.0,0.0,0,GCA_000233375.4
NW_012385433.1,0,8,0,0,0,1.6,0,42.13,3.14,0.0,0.0,0,GCA_000233375.4
NW_012385278.1,0,8,0,0,0,2.27,0,42.8,3.16,0.0,0.0,0,GCA_000233375.4
NW_012385277.1,0,8,0,0,0,2.33,0,42.87,3.16,0.0,0.0,0,GCA_000233375.4
NW_012383399.1,0,8,0,0,0,2.08,0,42.61,3.23,0.0,0.0,0,GCA_000233375.4
NW_012383281.1,0,8,0,0,0,1.68,0,42.22,3.24,0.0,0.0,0,GCA_000233375.4
NW_012383255.1,0,8,0,0,0,2.3,0,42.84,3.24,0.0,0.0,0,GCA_000233375.4
NW_012383254.1,0,8,0,0,0,1.5,0,42.04,3.24,0.0,0.0,0,GCA_000233375.4
NW_012383124.1,0,8,0,0,0,2.2,0,42.74,3.25,0.0,0.0,0,GCA_000233375.4
NW_012382898.1,0,8,0,0,0,2.16,0,42.7,3.27,0.0,0.0,0,GCA_000233375.4
NW_012382886.1,0,8,0,0,0,2.11,0,42.65,3.27,0.0,0.0,0,GCA_000233375.4
NW_012382313.1,0,8,0,0,0,1.65,0,42.18,3.31,0.0,0.0,0,GCA_000233375.4
NW_012381776.1,0,8,0,0,0,2.06,0,42.6,3.35,0.0,0.0,0,GCA_000233375.4
NW_012381596.1,0,8,0,0,0,2.34,0,42.88,3.36,0.0,0.0,0,GCA_000233375.4
NW_012381532.1,0,8,0,0,0,2.21,0,42.74,3.37,0.0,0.0,0,GCA_000233375.4
NW_012381272.1,0,8,0,0,0,1.53,0,42.06,3.39,0.0,0.0,0,GCA_000233375.4
NW_012381233.1,0,8,0,0,0,1.63,0,42.16,3.39,0.0,0.0,0,GCA_000233375.4
NW_012381067.1,0,8,0,0,0,1.86,0,42.4,3.41,0.0,0.0,0,GCA_000233375.4
NW_012380992.1,0,8,0,0,0,1.88,0,42.42,3.41,0.0,0.0,0,GCA_000233375.4
NW_012380607.1,0,8,0,0,0,1.18,0,41.72,3.44,0.0,0.0,0,GCA_000233375.4
NW_012380124.1,0,8,0,0,0,1.65,0,42.19,3.48,0.0,0.0,0,GCA_000233375.4
NW_012379290.1,0,8,0,0,0,1.32,0,41.86,3.56,0.0,0.0,0,GCA_000233375.4
NW_012378712.1,0,8,0,0,0,1.77,0,42.31,3.61,0.0,0.0,0,GCA_000233375.4
NW_012378314.1,0,8,0,0,0,1.46,0,42.0,3.64,0.0,0.0,0,GCA_000233375.4
NW_012377973.1,0,8,0,0,0,1.7,0,42.24,3.67,0.0,0.0,0,GCA_000233375.4
NW_012377617.1,0,8,0,0,0,1.04,0,41.57,3.7,0.0,0.0,0,GCA_000233375.4
NW_012376753.1,0,8,0,0,0,1.02,0,41.56,3.78,0.0,0.0,0,GCA_000233375.4
NW_012373475.1,0,8,0,0,0,0.73,0,41.27,4.06,0.0,0.0,0,GCA_000233375.4
NW_012372641.1,0,8,0,0,0,1.01,0,41.55,4.14,0.0,0.0,0,GCA_000233375.4
NW_012366800.1,8,0,0,0,0,5.36,0,45.9,4.97,0.0,0.0,0,GCA_000233375.4
NW_012365810.1,0,8,0,0,0,9.16,0,31.38,5.19,0.0,0.0,0,GCA_000233375.4
NW_012360521.1,8,0,0,0,0,4.73,0,45.27,6.86,0.0,0.0,0,GCA_000233375.4
NW_012354025.1,0,0,0,3,0,3.74,0,36.8,10.62,2.83,0.0,0,GCA_000233375.4
NW_012352251.1,8,0,0,0,0,1.89,0,38.65,11.99,0.0,0.0,0,GCA_000233375.4
NW_012349499.1,0,0,0,1,4,5.21,0,45.75,15.75,0.64,2.54,0,GCA_000233375.4
NW_012348502.1,0,0,0,5,1,4.09,0,36.45,18.87,2.65,0.53,0,GCA_000233375.4
NW_012348444.1,0,0,0,5,1,0.36,0,40.9,19.12,2.62,0.52,0,GCA_000233375.4
NW_012347408.1,0,0,0,5,0,3.55,0,44.09,28.37,1.76,0.0,0,GCA_000233375.4
NW_012346518.1,0,0,0,1,0,30.07,1,10.47,37.03,0.27,0.0,0,GCA_000233375.4
NW_012344527.1,0,0,0,1,0,32.96,1,7.58,40.35,0.25,0.0,0,GCA_000233375.4
NW_012344445.1,0,0,0,1,0,32.53,1,8.01,40.66,0.25,0.0,0,GCA_000233375.4
NW_012342879.1,0,0,0,1,0,29.64,1,10.9,33.65,0.3,0.0,0,GCA_000233375.4
NW_012342630.1,2,0,0,1,2,2.56,0,43.09,10.85,0.92,1.84,0,GCA_000233375.4
NW_012342089.1,0,0,0,1,2,4.78,0,45.32,8.47,1.18,2.36,0,GCA_000233375.4
NW_012486755.1,0,0,0,0,1,5.5,0,46.04,1.27,0.0,7.84,0,GCA_000233375.4
NW_012466758.1,0,0,0,0,1,1.68,0,38.86,1.33,0.0,7.5,0,GCA_000233375.4
NW_012464735.1,0,0,0,0,1,4.99,0,45.52,1.34,0.0,7.46,0,GCA_000233375.4
NW_012461007.1,0,0,0,0,1,1.98,0,38.55,1.35,0.0,7.39,0,GCA_000233375.4
NW_012460296.1,0,0,0,1,0,2.5,0,43.04,1.36,7.37,0.0,0,GCA_000233375.4
NW_012458281.1,0,5,2,0,0,4.27,0,44.8,1.37,0.0,0.0,0,GCA_000233375.4
NW_012458175.1,0,5,2,0,0,4.34,0,44.88,1.37,0.0,0.0,0,GCA_000233375.4
NW_012457716.1,0,5,2,0,0,4.49,0,45.03,1.37,0.0,0.0,0,GCA_000233375.4
NW_012453125.1,0,0,0,0,1,0.79,0,41.32,1.39,0.0,7.2,0,GCA_000233375.4
NW_012452399.1,0,6,1,0,0,5.84,0,46.37,1.39,0.0,0.0,0,GCA_000233375.4
NW_012451094.1,0,0,0,1,0,0.99,0,41.53,1.4,7.15,0.0,0,GCA_000233375.4
NW_012449753.1,0,6,1,0,0,6.48,0,47.01,1.41,0.0,0.0,0,GCA_000233375.4
NW_012447727.1,0,0,0,1,0,5.55,0,46.08,1.42,7.06,0.0,0,GCA_000233375.4
NW_012447590.1,0,0,0,1,0,2.69,0,43.23,1.42,7.05,0.0,0,GCA_000233375.4
NW_012446505.1,0,6,1,0,0,6.3,0,46.84,1.42,0.0,0.0,0,GCA_000233375.4
NW_012435477.1,0,6,1,0,0,5.85,0,46.39,1.49,0.0,0.0,0,GCA_000233375.4
NW_012423574.1,0,5,2,0,0,2.62,0,43.15,1.6,0.0,0.0,0,GCA_000233375.4
NW_012421045.1,0,5,2,0,0,2.98,0,43.52,1.63,0.0,0.0,0,GCA_000233375.4
NW_012420163.1,0,6,1,0,0,4.64,0,45.18,1.64,0.0,0.0,0,GCA_000233375.4
NW_012419183.1,0,6,1,0,0,5.01,0,45.55,1.65,0.0,0.0,0,GCA_000233375.4
NW_012418250.1,0,6,1,0,0,4.77,0,45.31,1.66,0.0,0.0,0,GCA_000233375.4
NW_012417497.1,0,6,1,0,0,4.14,0,44.68,1.67,0.0,0.0,0,GCA_000233375.4
NW_012416675.1,0,6,1,0,0,4.32,0,44.86,1.68,0.0,0.0,0,GCA_000233375.4
NW_012415579.1,0,7,0,0,0,7.37,0,47.91,1.7,0.0,0.0,0,GCA_000233375.4
NW_012412996.1,0,6,1,0,0,4.03,0,44.57,1.74,0.0,0.0,0,GCA_000233375.4
NW_012412763.1,0,6,1,0,0,4.18,0,44.72,1.74,0.0,0.0,0,GCA_000233375.4
NW_012412364.1,0,6,1,0,0,3.98,0,44.51,1.75,0.0,0.0,0,GCA_000233375.4
NW_012410364.1,0,6,1,0,0,3.75,0,44.29,1.79,0.0,0.0,0,GCA_000233375.4
NW_012410046.1,0,6,1,0,0,3.41,0,43.95,1.79,0.0,0.0,0,GCA_000233375.4
NW_012409698.1,0,6,1,0,0,3.35,0,43.89,1.8,0.0,0.0,0,GCA_000233375.4
NW_012409150.1,0,6,1,0,0,4.19,0,44.73,1.81,0.0,0.0,0,GCA_000233375.4
NW_012409141.1,0,6,1,0,0,4.41,0,44.95,1.81,0.0,0.0,0,GCA_000233375.4
NW_012408868.1,0,6,1,0,0,3.88,0,44.41,1.82,0.0,0.0,0,GCA_000233375.4
NW_012407904.1,0,6,1,0,0,4.26,0,44.8,1.84,0.0,0.0,0,GCA_000233375.4
NW_012404995.1,0,6,1,0,0,2.61,0,43.15,1.91,0.0,0.0,0,GCA_000233375.4
NW_012404836.1,0,6,1,0,0,3.36,0,43.9,1.91,0.0,0.0,0,GCA_000233375.4
NW_012404821.1,0,6,1,0,0,4.04,0,44.58,1.91,0.0,0.0,0,GCA_000233375.4
NW_012404789.1,0,6,1,0,0,3.44,0,43.98,1.91,0.0,0.0,0,GCA_000233375.4
NW_012404739.1,0,6,1,0,0,3.52,0,44.06,1.91,0.0,0.0,0,GCA_000233375.4
NW_012404161.1,0,6,1,0,0,3.47,0,44.01,1.93,0.0,0.0,0,GCA_000233375.4
NW_012404110.1,0,6,1,0,0,3.39,0,43.93,1.93,0.0,0.0,0,GCA_000233375.4
NW_012404041.1,0,6,1,0,0,2.99,0,43.52,1.93,0.0,0.0,0,GCA_000233375.4
NW_012403997.1,0,6,1,0,0,3.27,0,43.81,1.93,0.0,0.0,0,GCA_000233375.4
NW_012403279.1,0,6,1,0,0,3.7,0,44.23,1.95,0.0,0.0,0,GCA_000233375.4
NW_012403160.1,0,7,0,0,0,4.76,0,45.29,1.95,0.0,0.0,0,GCA_000233375.4
NW_012403025.1,0,6,1,0,0,3.85,0,44.38,1.96,0.0,0.0,0,GCA_000233375.4
NW_012403021.1,0,6,1,0,0,3.64,0,44.18,1.96,0.0,0.0,0,GCA_000233375.4
NW_012402820.1,0,6,1,0,0,3.48,0,44.01,1.96,0.0,0.0,0,GCA_000233375.4
NW_012402250.1,0,6,1,0,0,3.18,0,43.72,1.98,0.0,0.0,0,GCA_000233375.4
NW_012402184.1,0,6,1,0,0,3.94,0,44.48,1.98,0.0,0.0,0,GCA_000233375.4
NW_012401889.1,0,6,1,0,0,2.89,0,43.42,1.99,0.0,0.0,0,GCA_000233375.4
NW_012401198.1,0,6,1,0,0,3.46,0,43.99,2.01,0.0,0.0,0,GCA_000233375.4
NW_012401102.1,0,6,1,0,0,2.99,0,43.53,2.02,0.0,0.0,0,GCA_000233375.4
NW_012400599.1,0,7,0,0,0,4.74,0,45.28,2.03,0.0,0.0,0,GCA_000233375.4
NW_012400444.1,0,6,1,0,0,2.97,0,43.5,2.04,0.0,0.0,0,GCA_000233375.4
NW_012400006.1,0,6,1,0,0,3.18,0,43.72,2.05,0.0,0.0,0,GCA_000233375.4
NW_012399840.1,0,6,1,0,0,2.62,0,43.16,2.06,0.0,0.0,0,GCA_000233375.4
NW_012399753.1,0,7,0,0,0,4.45,0,44.98,2.06,0.0,0.0,0,GCA_000233375.4
NW_012399513.1,0,6,1,0,0,2.9,0,43.44,2.07,0.0,0.0,0,GCA_000233375.4
NW_012399251.1,0,6,1,0,0,3.21,0,43.75,2.08,0.0,0.0,0,GCA_000233375.4
NW_012399146.1,0,6,1,0,0,2.84,0,43.38,2.08,0.0,0.0,0,GCA_000233375.4
NW_012399044.1,0,6,1,0,0,2.61,0,43.15,2.09,0.0,0.0,0,GCA_000233375.4
NW_012398827.1,0,6,1,0,0,2.95,0,43.48,2.1,0.0,0.0,0,GCA_000233375.4
NW_012398654.1,0,6,1,0,0,2.76,0,43.29,2.1,0.0,0.0,0,GCA_000233375.4
NW_012398418.1,0,6,1,0,0,2.43,0,42.97,2.11,0.0,0.0,0,GCA_000233375.4
NW_012398409.1,0,7,0,0,0,4.09,0,44.62,2.11,0.0,0.0,0,GCA_000233375.4
NW_012398402.1,0,7,0,0,0,4.75,0,45.29,2.11,0.0,0.0,0,GCA_000233375.4
NW_012398292.1,0,6,1,0,0,2.58,0,43.12,2.12,0.0,0.0,0,GCA_000233375.4
NW_012398237.1,0,7,0,0,0,3.54,0,44.07,2.12,0.0,0.0,0,GCA_000233375.4
NW_012398194.1,0,6,1,0,0,2.93,0,43.46,2.12,0.0,0.0,0,GCA_000233375.4
NW_012397929.1,0,6,1,0,0,2.68,0,43.21,2.13,0.0,0.0,0,GCA_000233375.4
NW_012397849.1,0,6,1,0,0,2.62,0,43.15,2.13,0.0,0.0,0,GCA_000233375.4
NW_012397429.1,0,6,1,0,0,3.11,0,43.65,2.15,0.0,0.0,0,GCA_000233375.4
NW_012397096.1,0,6,1,0,0,2.9,0,43.43,2.16,0.0,0.0,0,GCA_000233375.4
NW_012396650.1,0,6,1,0,0,2.72,0,43.26,2.18,0.0,0.0,0,GCA_000233375.4
NW_012396639.1,0,7,0,0,0,4.35,0,44.89,2.18,0.0,0.0,0,GCA_000233375.4
NW_012396559.1,0,6,1,0,0,2.64,0,43.18,2.18,0.0,0.0,0,GCA_000233375.4
NW_012396558.1,0,6,1,0,0,2.0,0,42.54,2.18,0.0,0.0,0,GCA_000233375.4
NW_012396409.1,0,6,1,0,0,2.34,0,42.88,2.19,0.0,0.0,0,GCA_000233375.4
NW_012396384.1,0,6,1,0,0,2.44,0,42.97,2.19,0.0,0.0,0,GCA_000233375.4
NW_012396333.1,0,7,0,0,0,2.85,0,43.39,2.19,0.0,0.0,0,GCA_000233375.4
NW_012396223.1,0,6,1,0,0,2.66,0,43.2,2.2,0.0,0.0,0,GCA_000233375.4
NW_012396128.1,0,7,0,0,0,3.58,0,44.12,2.2,0.0,0.0,0,GCA_000233375.4
NW_012395744.1,0,6,1,0,0,1.85,0,42.39,2.22,0.0,0.0,0,GCA_000233375.4
NW_012395736.1,0,6,1,0,0,2.51,0,43.04,2.22,0.0,0.0,0,GCA_000233375.4
NW_012395619.1,0,6,1,0,0,2.53,0,43.06,2.23,0.0,0.0,0,GCA_000233375.4
NW_012395560.1,0,7,0,0,0,3.27,0,43.81,2.23,0.0,0.0,0,GCA_000233375.4
NW_012395483.1,0,7,0,0,0,3.69,0,44.23,2.23,0.0,0.0,0,GCA_000233375.4
NW_012395388.1,0,7,0,0,0,4.22,0,44.75,2.24,0.0,0.0,0,GCA_000233375.4
NW_012395364.1,0,7,0,0,0,3.3,0,43.84,2.24,0.0,0.0,0,GCA_000233375.4
NW_012395186.1,0,6,1,0,0,2.75,0,43.29,2.25,0.0,0.0,0,GCA_000233375.4
NW_012395124.1,0,7,0,0,0,3.09,0,43.63,2.25,0.0,0.0,0,GCA_000233375.4
NW_012395103.1,0,6,1,0,0,2.08,0,42.62,2.25,0.0,0.0,0,GCA_000233375.4
NW_012395024.1,0,6,1,0,0,1.74,0,42.28,2.26,0.0,0.0,0,GCA_000233375.4
NW_012394852.1,0,7,0,0,0,3.07,0,43.61,2.27,0.0,0.0,0,GCA_000233375.4
NW_012394704.1,0,7,0,0,0,3.49,0,44.02,2.28,0.0,0.0,0,GCA_000233375.4
NW_012394545.1,0,6,1,0,0,1.84,0,42.38,2.26,0.0,0.0,0,GCA_000233375.4
NW_012394534.1,0,6,1,0,0,2.63,0,43.17,2.28,0.0,0.0,0,GCA_000233375.4
NW_012394488.1,0,7,0,0,0,3.56,0,44.09,2.29,0.0,0.0,0,GCA_000233375.4
NW_012394351.1,0,6,1,0,0,2.2,0,42.74,2.29,0.0,0.0,0,GCA_000233375.4
NW_012393630.1,0,7,0,0,0,3.29,0,43.83,2.33,0.0,0.0,0,GCA_000233375.4
NW_012393614.1,0,6,1,0,0,2.54,0,43.08,2.33,0.0,0.0,0,GCA_000233375.4
NW_012393573.1,0,6,1,0,0,1.99,0,42.53,2.33,0.0,0.0,0,GCA_000233375.4
NW_012393564.1,0,7,0,0,0,3.51,0,44.05,2.34,0.0,0.0,0,GCA_000233375.4
NW_012393510.1,0,6,1,0,0,1.66,0,42.2,2.34,0.0,0.0,0,GCA_000233375.4
NW_012393383.1,0,6,1,0,0,2.22,0,42.75,2.35,0.0,0.0,0,GCA_000233375.4
NW_012393335.1,0,7,0,0,0,2.93,0,43.47,2.35,0.0,0.0,0,GCA_000233375.4
NW_012393304.1,0,7,0,0,0,2.78,0,43.32,2.35,0.0,0.0,0,GCA_000233375.4
NW_012393108.1,0,7,0,0,0,3.14,0,43.67,2.36,0.0,0.0,0,GCA_000233375.4
NW_012393101.1,0,6,1,0,0,1.49,0,42.02,2.36,0.0,0.0,0,GCA_000233375.4
NW_012393094.1,0,7,0,0,0,3.18,0,43.72,2.36,0.0,0.0,0,GCA_000233375.4
NW_012393042.1,0,6,1,0,0,2.11,0,42.65,2.37,0.0,0.0,0,GCA_000233375.4
NW_012392914.1,0,6,1,0,0,2.16,0,42.69,2.38,0.0,0.0,0,GCA_000233375.4
NW_012392844.1,0,7,0,0,0,3.89,0,44.43,2.38,0.0,0.0,0,GCA_000233375.4
NW_012392725.1,0,7,0,0,0,3.18,0,43.71,2.39,0.0,0.0,0,GCA_000233375.4
NW_012392423.1,0,7,0,0,0,2.73,0,43.27,2.41,0.0,0.0,0,GCA_000233375.4
NW_012392249.1,0,7,0,0,0,2.14,0,42.68,2.42,0.0,0.0,0,GCA_000233375.4
NW_012392085.1,0,7,0,0,0,2.34,0,42.88,2.43,0.0,0.0,0,GCA_000233375.4
NW_012391999.1,0,7,0,0,0,3.45,0,43.98,2.44,0.0,0.0,0,GCA_000233375.4
NW_012391915.1,0,7,0,0,0,2.4,0,42.93,2.44,0.0,0.0,0,GCA_000233375.4
NW_012391898.1,0,7,0,0,0,3.2,0,43.73,2.44,0.0,0.0,0,GCA_000233375.4
NW_012391866.1,0,7,0,0,0,2.75,0,43.29,2.44,0.0,0.0,0,GCA_000233375.4
NW_012391770.1,0,6,1,0,0,0.03,0,40.57,2.45,0.0,0.0,0,GCA_000233375.4
NW_012391643.1,0,7,0,0,0,3.37,0,43.9,2.46,0.0,0.0,0,GCA_000233375.4
NW_012391600.1,0,7,0,0,0,2.69,0,43.22,2.46,0.0,0.0,0,GCA_000233375.4
NW_012391512.1,0,7,0,0,0,3.41,0,43.95,2.47,0.0,0.0,0,GCA_000233375.4
NW_012391411.1,0,6,1,0,0,2.16,0,42.7,2.48,0.0,0.0,0,GCA_000233375.4
NW_012391244.1,0,7,0,0,0,3.24,0,43.78,2.49,0.0,0.0,0,GCA_000233375.4
NW_012391237.1,0,7,0,0,0,2.96,0,43.5,2.49,0.0,0.0,0,GCA_000233375.4
NW_012391206.1,0,7,0,0,0,2.97,0,43.5,2.49,0.0,0.0,0,GCA_000233375.4
NW_012390984.1,0,7,0,0,0,3.21,0,43.75,2.51,0.0,0.0,0,GCA_000233375.4
NW_012390892.1,0,7,0,0,0,3.31,0,43.85,2.52,0.0,0.0,0,GCA_000233375.4
NW_012390870.1,7,0,0,0,0,6.35,0,46.89,2.52,0.0,0.0,0,GCA_000233375.4
NW_012390813.1,0,7,0,0,0,2.47,0,43.01,2.52,0.0,0.0,0,GCA_000233375.4
NW_012390775.1,0,7,0,0,0,3.23,0,43.77,2.53,0.0,0.0,0,GCA_000233375.4
NW_012390713.1,0,7,0,0,0,2.42,0,42.95,2.53,0.0,0.0,0,GCA_000233375.4
NW_012390581.1,0,7,0,0,0,2.76,0,43.3,2.54,0.0,0.0,0,GCA_000233375.4
NW_012390517.1,0,6,1,0,0,1.62,0,42.16,2.55,0.0,0.0,0,GCA_000233375.4
NW_012390514.1,0,7,0,0,0,3.09,0,43.63,2.55,0.0,0.0,0,GCA_000233375.4
NW_012390508.1,0,7,0,0,0,2.51,0,43.04,2.55,0.0,0.0,0,GCA_000233375.4
NW_012390422.1,0,7,0,0,0,2.11,0,42.65,2.56,0.0,0.0,0,GCA_000233375.4
NW_012390413.1,0,7,0,0,0,2.96,0,43.49,2.56,0.0,0.0,0,GCA_000233375.4
NW_012390394.1,0,7,0,0,0,2.53,0,43.07,2.56,0.0,0.0,0,GCA_000233375.4
NW_012390280.1,0,7,0,0,0,2.77,0,43.31,2.57,0.0,0.0,0,GCA_000233375.4
NW_012390135.1,0,6,1,0,0,0.82,0,41.35,2.58,0.0,0.0,0,GCA_000233375.4
NW_012390011.1,0,7,0,0,0,2.88,0,43.41,2.6,0.0,0.0,0,GCA_000233375.4
NW_012389949.1,0,7,0,0,0,2.06,0,42.6,2.6,0.0,0.0,0,GCA_000233375.4
NW_012389866.1,0,7,0,0,0,2.7,0,43.23,2.61,0.0,0.0,0,GCA_000233375.4
NW_012389676.1,0,7,0,0,0,1.56,0,42.1,2.63,0.0,0.0,0,GCA_000233375.4
NW_012389610.1,0,6,1,0,0,0.95,0,41.49,2.63,0.0,0.0,0,GCA_000233375.4
NW_012389558.1,0,6,1,0,0,1.39,0,41.93,2.64,0.0,0.0,0,GCA_000233375.4
NW_012389455.1,0,7,0,0,0,2.1,0,42.64,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389452.1,0,7,0,0,0,2.57,0,43.11,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389447.1,0,7,0,0,0,1.93,0,42.47,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389422.1,0,7,0,0,0,1.77,0,42.31,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389392.1,0,7,0,0,0,2.57,0,43.1,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389381.1,0,7,0,0,0,2.55,0,43.09,2.65,0.0,0.0,0,GCA_000233375.4
NW_012389298.1,0,7,0,0,0,2.55,0,43.09,2.66,0.0,0.0,0,GCA_000233375.4
NW_012389233.1,0,6,1,0,0,1.78,0,42.32,2.67,0.0,0.0,0,GCA_000233375.4
NW_012389198.1,0,7,0,0,0,2.91,0,43.45,2.67,0.0,0.0,0,GCA_000233375.4
NW_012389051.1,0,7,0,0,0,2.5,0,43.04,2.69,0.0,0.0,0,GCA_000233375.4
NW_012389013.1,0,7,0,0,0,2.38,0,42.92,2.69,0.0,0.0,0,GCA_000233375.4
NW_012388917.1,0,7,0,0,0,1.91,0,42.44,2.7,0.0,0.0,0,GCA_000233375.4
NW_012388914.1,0,7,0,0,0,2.78,0,43.32,2.7,0.0,0.0,0,GCA_000233375.4
NW_012388847.1,0,7,0,0,0,2.43,0,42.96,2.71,0.0,0.0,0,GCA_000233375.4
NW_012388709.1,0,7,0,0,0,2.3,0,42.84,2.72,0.0,0.0,0,GCA_000233375.4
NW_012388703.1,0,7,0,0,0,2.61,0,43.15,2.72,0.0,0.0,0,GCA_000233375.4
NW_012388590.1,0,7,0,0,0,2.44,0,42.98,2.73,0.0,0.0,0,GCA_000233375.4
NW_012388463.1,0,7,0,0,0,1.89,0,42.43,2.75,0.0,0.0,0,GCA_000233375.4
NW_012388325.1,0,7,0,0,0,2.85,0,43.39,2.76,0.0,0.0,0,GCA_000233375.4
NW_012388212.1,0,7,0,0,0,2.48,0,43.02,2.77,0.0,0.0,0,GCA_000233375.4
NW_012388170.1,0,7,0,0,0,2.55,0,43.08,2.78,0.0,0.0,0,GCA_000233375.4
NW_012388031.1,0,7,0,0,0,1.87,0,42.41,2.79,0.0,0.0,0,GCA_000233375.4
NW_012388027.1,0,7,0,0,0,2.0,0,42.53,2.79,0.0,0.0,0,GCA_000233375.4
NW_012387948.1,0,7,0,0,0,2.35,0,42.88,2.8,0.0,0.0,0,GCA_000233375.4
NW_012387925.1,0,7,0,0,0,1.92,0,42.46,2.81,0.0,0.0,0,GCA_000233375.4
NW_012387896.1,0,7,0,0,0,0.81,0,41.35,2.81,0.0,0.0,0,GCA_000233375.4
NW_012387880.1,0,6,1,0,0,0.96,0,41.49,2.81,0.0,0.0,0,GCA_000233375.4
NW_012387879.1,0,7,0,0,0,1.71,0,42.24,2.81,0.0,0.0,0,GCA_000233375.4
NW_012387868.1,0,7,0,0,0,2.4,0,42.94,2.81,0.0,0.0,0,GCA_000233375.4
NW_012387812.1,0,7,0,0,0,1.68,0,42.21,2.82,0.0,0.0,0,GCA_000233375.4
NW_012387563.1,0,7,0,0,0,2.17,0,42.7,2.85,0.0,0.0,0,GCA_000233375.4
NW_012387497.1,0,7,0,0,0,2.21,0,42.74,2.86,0.0,0.0,0,GCA_000233375.4
NW_012387474.1,0,7,0,0,0,2.05,0,42.59,2.86,0.0,0.0,0,GCA_000233375.4
NW_012387360.1,0,7,0,0,0,1.45,0,41.98,2.88,0.0,0.0,0,GCA_000233375.4
NW_012387286.1,0,7,0,0,0,2.15,0,42.69,2.89,0.0,0.0,0,GCA_000233375.4
NW_012387255.1,0,7,0,0,0,1.76,0,42.3,2.89,0.0,0.0,0,GCA_000233375.4
NW_012387206.1,0,7,0,0,0,1.93,0,42.47,2.89,0.0,0.0,0,GCA_000233375.4
NW_012387157.1,0,7,0,0,0,1.37,0,41.91,2.9,0.0,0.0,0,GCA_000233375.4
NW_012387151.1,0,7,0,0,0,1.83,0,42.36,2.9,0.0,0.0,0,GCA_000233375.4
NW_012387100.1,0,7,0,0,0,2.05,0,42.59,2.91,0.0,0.0,0,GCA_000233375.4
NW_012387066.1,0,7,0,0,0,2.05,0,42.58,2.91,0.0,0.0,0,GCA_000233375.4
NW_012386992.1,0,7,0,0,0,1.82,0,42.35,2.92,0.0,0.0,0,GCA_000233375.4
NW_012386910.1,0,7,0,0,0,0.66,0,41.19,2.94,0.0,0.0,0,GCA_000233375.4
NW_012386836.1,0,7,0,0,0,2.37,0,42.91,2.95,0.0,0.0,0,GCA_000233375.4
NW_012386787.1,0,7,0,0,0,1.96,0,42.5,2.95,0.0,0.0,0,GCA_000233375.4
NW_012386747.1,0,7,0,0,0,1.81,0,42.35,2.96,0.0,0.0,0,GCA_000233375.4
NW_012386736.1,0,7,0,0,0,1.88,0,42.42,2.96,0.0,0.0,0,GCA_000233375.4
NW_012386531.1,0,7,0,0,0,1.51,0,42.04,2.98,0.0,0.0,0,GCA_000233375.4
NW_012386368.1,0,7,0,0,0,2.38,0,42.92,3.01,0.0,0.0,0,GCA_000233375.4
NW_012386355.1,0,7,0,0,0,1.86,0,42.39,3.01,0.0,0.0,0,GCA_000233375.4
NW_012386227.1,0,7,0,0,0,1.78,0,42.32,3.03,0.0,0.0,0,GCA_000233375.4
NW_012386048.1,0,7,0,0,0,1.44,0,41.97,3.05,0.0,0.0,0,GCA_000233375.4
NW_012386005.1,0,7,0,0,0,1.79,0,42.33,3.06,0.0,0.0,0,GCA_000233375.4
NW_012385979.1,0,7,0,0,0,1.65,0,42.19,3.06,0.0,0.0,0,GCA_000233375.4
NW_012385929.1,0,7,0,0,0,1.22,0,41.75,3.07,0.0,0.0,0,GCA_000233375.4
NW_012385715.1,0,7,0,0,0,1.48,0,42.01,3.1,0.0,0.0,0,GCA_000233375.4
NW_012385657.1,0,7,0,0,0,1.69,0,42.23,3.11,0.0,0.0,0,GCA_000233375.4
NW_012385514.1,0,7,0,0,0,1.47,0,42.01,3.13,0.0,0.0,0,GCA_000233375.4
NW_012385469.1,0,7,0,0,0,0.99,0,41.53,3.13,0.0,0.0,0,GCA_000233375.4
NW_012385463.1,0,7,0,0,0,1.06,0,41.59,3.13,0.0,0.0,0,GCA_000233375.4
NW_012385446.1,0,7,0,0,0,1.32,0,41.86,3.14,0.0,0.0,0,GCA_000233375.4
NW_012384151.1,0,7,0,0,0,0.05,0,40.49,3.19,0.0,0.0,0,GCA_000233375.4
