Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC,GC-dev,GC-out,Len,MD,PD,Organelle
NW_023336707.1,2,0,0,0,0,50.11,1.43,0,1392.38,0.0,0.0,0
NW_023336668.1,1,0,0,30,0,45.34,3.34,0,4124.8,0.07,0.0,0
NW_023336618.1,0,0,0,54,2,39.87,8.82,0,10025.88,0.05,0.0,0
NW_023336592.1,6,0,0,79,3,41.95,6.73,0,27227.26,0.03,0.0,0
NW_023336890.1,0,0,0,3,0,51.44,2.76,0,69.31,0.43,0.0,0
NW_023336821.1,1,0,0,0,0,54.0,5.31,0,188.0,0.0,0.0,0
NW_023336811.1,0,1,0,0,0,52.6,3.91,0,224.35,0.0,0.0,0
NW_023336797.1,0,0,0,7,0,52.25,3.57,0,299.34,0.23,0.0,0
NW_023336788.1,0,0,0,2,0,37.97,10.72,1,309.73,0.06,0.0,0
NW_023336773.1,0,0,0,9,0,39.34,9.35,0,436.58,0.21,0.0,0
NW_023336759.1,24,0,0,4,0,53.76,5.08,0,665.22,0.06,0.0,0
NW_023336750.1,0,0,0,11,0,42.91,5.77,0,748.41,0.15,0.0,0
NW_023336732.1,14,0,0,7,0,40.32,8.36,0,981.39,0.07,0.0,0
NW_023336728.1,1,0,0,0,0,39.54,9.14,0,1066.06,0.0,0.0,0
NW_023336720.1,1,0,0,0,0,51.83,3.15,0,1163.04,0.0,0.0,0
NW_023336692.1,1,0,0,0,0,50.73,2.05,0,2705.67,0.0,0.0,0
NW_023336684.1,1,0,0,20,0,38.59,10.09,0,2790.18,0.07,0.0,0
NW_023336676.1,0,0,0,21,0,41.84,6.85,0,3520.32,0.06,0.0,0
NW_023336664.1,0,0,0,25,1,40.55,8.14,0,4263.64,0.06,0.0,0
NW_023336661.1,0,0,0,28,0,39.18,9.51,0,4377.04,0.06,0.0,0
NW_023336657.1,3,0,0,23,0,47.26,1.43,0,4649.55,0.05,0.0,0
NW_023336655.1,3,0,0,28,0,40.64,8.04,0,5024.01,0.06,0.0,0
NW_023336648.1,0,0,0,28,0,40.57,8.11,0,5749.45,0.05,0.0,0
NW_023336644.1,2,0,0,30,0,39.9,8.79,0,6374.05,0.05,0.0,0
NW_023336642.1,3,0,0,26,0,47.14,1.55,0,6490.23,0.04,0.0,0
NW_023336640.1,0,0,0,34,1,38.77,9.92,0,6785.85,0.05,0.0,0
NW_023336639.1,0,0,0,36,1,40.37,8.32,0,6777.34,0.05,0.0,0
NW_023336634.1,1,0,0,0,0,40.37,8.31,0,2638.47,0.0,0.0,0
NW_023336630.1,1,0,0,33,1,41.26,7.43,0,7505.78,0.04,0.0,0
NW_023336623.1,1,0,0,36,0,39.74,8.95,0,9258.1,0.04,0.0,0
NW_023336617.1,0,0,0,40,0,38.86,9.82,0,11486.26,0.03,0.0,0
NW_023336616.1,2,0,0,44,0,40.7,7.98,0,11796.84,0.04,0.0,0
NW_023336615.1,5,0,0,39,0,44.66,4.03,0,12152.3,0.03,0.0,0
NW_023336609.1,5,0,0,42,0,43.27,5.42,0,14085.51,0.03,0.0,0
NW_023336607.1,0,0,0,39,0,42.59,6.09,0,14786.64,0.03,0.0,0
NW_023336601.1,0,41,0,32,0,43.18,5.5,0,17323.83,0.02,0.0,0
NW_023336600.1,2,0,0,61,0,39.87,8.81,0,18710.44,0.03,0.0,0
NW_023336599.1,10,0,0,40,0,41.17,7.51,0,19266.49,0.02,0.0,0
NC_008289.1,11,6,6,50,50,39.89,17.49,1,71.67,6.98,6.98,1
NC_008290.1,2,2,2,25,25,38.22,19.17,1,44.24,5.65,5.65,1
NC_014441.1,2,1,0,26,69,59.74,2.36,0,474.14,0.55,1.46,0
NC_014442.1,1,0,0,25,55,60.43,3.05,0,397.08,0.63,1.39,0
NC_014440.1,1,0,0,50,0,59.96,2.58,0,486.29,1.03,0.0,0
NC_014434.1,1,0,0,0,52,59.86,2.48,0,683.75,0.0,0.76,0
NC_014426.1,0,0,0,25,116,59.16,1.78,0,1076.3,0.23,1.08,0
NC_014430.1,0,0,0,0,50,59.42,2.03,0,817.48,0.0,0.61,0
NC_014431.1,1,0,0,0,44,59.14,1.75,0,789.11,0.0,0.56,0
NC_014443.1,0,0,0,0,25,60.15,2.77,0,323.55,0.0,0.77,0
NC_014437.1,0,4,0,25,34,59.35,1.96,0,521.58,0.48,0.65,0
NC_014428.1,0,0,0,51,31,58.85,1.46,0,975.46,0.52,0.32,0
NC_014427.1,3,0,0,17,86,54.7,2.68,0,1056.93,0.16,0.81,0
NC_014439.1,1,1,0,2,108,60.17,2.79,0,516.21,0.04,2.09,0
NC_014433.1,0,0,0,0,25,59.53,2.14,0,689.21,0.0,0.36,0
NC_014435.1,0,0,0,9,40,59.93,2.55,0,573.62,0.16,0.7,0
NC_014432.1,0,0,0,18,35,59.14,1.76,0,739.03,0.24,0.47,0
NC_014429.1,1,0,0,25,25,59.27,1.89,0,884.65,0.28,0.28,0
NC_014436.1,2,0,0,0,0,59.64,2.25,0,578.48,0.0,0.0,0
NC_014445.1,1,0,0,0,0,62.13,4.74,0,159.54,0.0,0.0,0
NC_005779.1,0,0,0,25,25,22.29,15.67,1,14.96,16.71,16.71,1
NW_022881291.1,0,0,0,25,25,46.01,8.05,1,114.25,2.19,2.19,0
NW_022881362.1,0,15,12,0,0,43.65,5.69,1,63.38,0.0,0.0,0
NW_022881498.1,0,9,6,0,0,45.95,7.98,1,67.51,0.0,0.0,0
NW_022881401.1,0,6,4,0,0,48.03,10.07,1,176.89,0.0,0.0,0
NW_022881382.1,0,8,6,0,0,44.82,6.86,1,57.08,0.0,0.0,0
NW_022881283.1,0,5,5,0,0,44.53,6.56,1,51.77,0.0,0.0,0
NW_022881335.1,0,7,4,0,0,43.75,5.78,1,30.08,0.0,0.0,0
NW_022881482.1,0,5,3,0,0,45.71,7.75,1,27.53,0.0,0.0,0
NW_022881407.1,0,5,2,0,0,46.92,8.95,1,31.37,0.0,0.0,0
NW_022881496.1,0,6,2,0,0,30.53,7.44,1,89.85,0.0,0.0,0
NW_022881310.1,0,6,4,0,0,43.73,5.76,1,26.06,0.0,0.0,0
NW_022881384.1,0,7,5,0,0,42.52,4.56,1,35.28,0.0,0.0,0
NW_022881452.1,0,5,4,0,0,43.66,5.7,1,107.65,0.0,0.0,0
NW_022881388.1,0,6,4,0,0,42.8,4.84,1,27.44,0.0,0.0,0
NW_022881321.1,0,7,3,0,0,42.59,4.62,1,36.1,0.0,0.0,0
NW_022881386.1,0,5,3,0,0,43.55,5.58,1,26.25,0.0,0.0,0
NW_022881476.1,0,31,12,0,0,36.87,1.09,0,130.97,0.0,0.0,0
NW_022881297.1,0,5,2,0,2,43.51,5.55,1,23.32,0.0,0.86,0
NW_022881262.1,0,24,14,0,0,39.21,1.24,0,88.65,0.0,0.0,0
NW_022881428.1,0,24,13,0,0,37.36,0.61,0,93.66,0.0,0.0,0
NW_022881342.1,0,6,2,0,0,33.41,4.55,1,27.43,0.0,0.0,0
NW_022881302.1,0,6,2,0,0,33.4,4.57,1,26.89,0.0,0.0,0
NW_022881366.1,0,4,1,0,0,44.18,6.21,1,28.45,0.0,0.0,0
NW_022881508.1,0,15,13,0,0,40.45,2.48,0,73.5,0.0,0.0,0
NW_022881468.1,0,17,9,0,0,36.55,1.41,0,58.79,0.0,0.0,0
NW_022881518.1,0,1,1,0,0,50.03,12.06,1,20.2,0.0,0.0,0
NW_022881487.1,0,17,7,0,0,37.57,0.39,0,78.28,0.0,0.0,0
NW_022881336.1,0,15,9,0,0,41.9,3.93,0,86.8,0.0,0.0,0
NW_022881377.1,0,14,8,0,0,39.2,1.24,0,59.62,0.0,0.0,0
NW_022881271.1,0,15,7,0,0,36.66,1.31,0,59.97,0.0,0.0,0
NW_022881449.1,0,15,6,0,0,36.35,1.62,0,62.19,0.0,0.0,0
NW_022881569.1,0,13,7,0,0,39.04,1.07,0,431.59,0.0,0.0,0
NW_022881473.1,0,15,5,0,0,36.65,1.32,0,68.47,0.0,0.0,0
NW_022881467.1,0,13,7,0,0,41.95,3.98,0,58.99,0.0,0.0,0
NW_022881334.1,0,13,6,0,0,36.27,1.7,0,45.17,0.0,0.0,0
NW_022881324.1,0,12,7,0,0,36.82,1.15,0,43.89,0.0,0.0,0
NW_022881529.1,0,12,6,0,0,40.22,2.26,0,47.3,0.0,0.0,0
NW_022881490.1,0,12,6,0,0,38.99,1.02,0,47.83,0.0,0.0,0
NW_022881406.1,0,12,5,0,0,36.98,0.99,0,49.46,0.0,0.0,0
NW_022881368.1,0,12,5,0,0,38.17,0.21,0,46.99,0.0,0.0,0
NW_022881365.1,0,17,11,0,1,42.52,4.55,1,77.5,0.0,0.13,0
NW_022881341.1,0,10,7,0,0,34.14,3.82,0,25.59,0.0,0.0,0
NW_022881303.1,0,13,4,0,0,34.22,3.74,0,50.2,0.0,0.0,0
NW_022881484.1,0,10,6,0,0,37.27,0.69,0,28.89,0.0,0.0,0
NW_022881430.1,0,11,5,0,0,36.42,1.54,0,45.68,0.0,0.0,0
NW_022881429.1,0,11,5,0,0,36.78,1.19,0,56.56,0.0,0.0,0
NW_022881399.1,0,11,5,0,0,38.53,0.56,0,46.26,0.0,0.0,0
NW_022881298.1,0,11,5,0,0,33.91,4.06,0,36.52,0.0,0.0,0
NW_022881472.1,0,10,5,0,0,41.91,3.95,0,44.83,0.0,0.0,0
NW_022881469.1,0,11,4,0,0,38.46,0.49,0,55.15,0.0,0.0,0
NW_022881369.1,0,10,5,0,0,38.72,0.75,0,36.94,0.0,0.0,0
NW_022881343.1,0,10,5,0,0,36.19,1.78,0,34.69,0.0,0.0,0
NW_022881439.1,0,10,4,0,0,35.97,2.0,0,45.12,0.0,0.0,0
NW_022881426.1,0,10,4,0,0,39.87,1.9,0,49.19,0.0,0.0,0
NW_022881360.1,0,1,1,0,0,45.34,7.38,1,27.82,0.0,0.0,0
NW_022881348.1,0,10,4,0,0,35.45,2.51,0,40.18,0.0,0.0,0
NW_022881344.1,0,9,5,0,0,39.18,1.22,0,39.55,0.0,0.0,0
NW_022881311.1,0,9,5,0,0,38.14,0.18,0,34.06,0.0,0.0,0
NW_022881308.1,0,10,4,0,0,39.32,1.35,0,54.12,0.0,0.0,0
NW_022881431.1,0,8,5,0,0,40.04,2.08,0,28.99,0.0,0.0,0
NW_022881379.1,0,8,5,0,0,38.48,0.51,0,29.23,0.0,0.0,0
NW_022881358.1,0,8,5,0,0,42.06,4.1,0,58.0,0.0,0.0,0
NW_022881349.1,0,9,4,0,0,38.17,0.2,0,36.35,0.0,0.0,0
NW_022881326.1,0,9,4,0,0,37.46,0.5,0,34.26,0.0,0.0,0
NW_022881322.1,0,9,4,0,0,37.57,0.4,0,38.12,0.0,0.0,0
NW_022881319.1,0,8,5,0,0,36.57,1.39,0,23.51,0.0,0.0,0
NW_022881314.1,0,8,5,0,0,38.07,0.1,0,25.49,0.0,0.0,0
NW_022881294.1,0,8,5,0,0,41.25,3.28,0,31.97,0.0,0.0,0
NW_022881520.1,0,9,3,0,0,41.48,3.51,0,46.87,0.0,0.0,0
NW_022881394.1,0,8,4,0,0,38.39,0.42,0,28.01,0.0,0.0,0
NW_022881375.1,0,8,4,0,0,39.4,1.43,0,37.91,0.0,0.0,0
NW_022881353.1,0,9,3,0,0,38.29,0.33,0,41.63,0.0,0.0,0
NW_022881309.1,0,8,4,0,0,34.11,3.86,0,25.45,0.0,0.0,0
NW_022881300.1,0,8,4,0,0,37.28,0.69,0,34.9,0.0,0.0,0
NW_022881474.1,0,7,4,0,0,37.99,0.03,0,28.45,0.0,0.0,0
NW_022881462.1,0,7,4,0,0,37.0,0.97,0,228.69,0.0,0.0,0
NW_022881453.1,0,7,4,0,0,41.77,3.81,0,117.94,0.0,0.0,0
NW_022881427.1,0,7,4,0,0,42.33,4.36,0,28.79,0.0,0.0,0
NW_022881396.1,0,7,4,0,0,38.16,0.19,0,26.71,0.0,0.0,0
NW_022881393.1,0,8,3,0,0,41.33,3.36,0,37.79,0.0,0.0,0
NW_022881392.1,0,8,3,0,0,39.7,1.73,0,30.01,0.0,0.0,0
NW_022881390.1,0,7,4,0,0,40.66,2.7,0,25.86,0.0,0.0,0
NW_022881380.1,0,8,3,0,0,37.97,0.0,0,31.41,0.0,0.0,0
NW_022881354.1,0,6,5,0,0,40.51,2.54,0,28.32,0.0,0.0,0
NW_022881347.1,0,8,3,0,0,37.46,0.5,0,31.41,0.0,0.0,0
NW_022881346.1,0,7,4,0,0,41.99,4.02,0,25.55,0.0,0.0,0
NW_022881337.1,0,7,4,0,0,37.27,0.7,0,27.59,0.0,0.0,0
NW_022881315.1,0,6,5,0,0,39.09,1.13,0,21.54,0.0,0.0,0
NW_022881301.1,0,8,3,0,0,34.33,3.64,0,28.36,0.0,0.0,0
NW_022881475.1,0,7,3,0,0,40.91,2.95,0,35.9,0.0,0.0,0
NW_022881466.1,0,6,4,0,0,41.53,3.57,0,33.5,0.0,0.0,0
NW_022881417.1,0,7,3,0,0,41.35,3.38,0,33.94,0.0,0.0,0
NW_022881408.1,0,7,3,0,0,41.2,3.23,0,28.27,0.0,0.0,0
NW_022881400.1,0,7,3,0,0,34.79,3.17,0,22.43,0.0,0.0,0
NW_022881387.1,0,7,3,0,0,41.42,3.45,0,32.0,0.0,0.0,0
NW_022881378.1,0,7,3,0,0,36.71,1.25,0,29.41,0.0,0.0,0
NW_022881339.1,0,7,3,0,0,33.73,4.23,0,25.19,0.0,0.0,0
NW_022881338.1,0,7,3,0,0,34.29,3.68,0,27.19,0.0,0.0,0
NW_022881332.1,0,7,3,0,0,39.86,1.9,0,30.21,0.0,0.0,0
NW_022881331.1,0,7,3,0,0,41.44,3.47,0,38.13,0.0,0.0,0
NW_022881328.1,0,7,3,0,0,37.2,0.77,0,27.16,0.0,0.0,0
NW_022881327.1,0,7,3,0,0,35.59,2.38,0,70.3,0.0,0.0,0
NW_022881323.1,0,7,3,0,0,41.77,3.8,0,36.11,0.0,0.0,0
NW_022881312.1,0,7,3,0,0,37.12,0.84,0,28.2,0.0,0.0,0
NW_022881304.1,0,7,3,0,0,33.89,4.07,0,28.9,0.0,0.0,0
NW_022881252.1,0,6,4,0,0,41.87,3.91,0,39.84,0.0,0.0,0
NW_022881242.1,0,7,3,0,0,41.72,3.76,0,42.77,0.0,0.0,0
NW_022881425.1,0,7,2,0,0,36.86,1.1,0,34.14,0.0,0.0,0
NW_022881415.1,0,0,0,0,2,32.26,5.7,1,23.36,0.0,0.86,0
NW_022881391.1,0,6,3,0,0,41.22,3.25,0,23.73,0.0,0.0,0
NW_022881381.1,0,6,3,0,0,42.3,4.34,0,32.51,0.0,0.0,0
NW_022881374.1,0,7,2,0,0,37.23,0.73,0,34.66,0.0,0.0,0
NW_022881306.1,0,7,2,0,0,35.38,2.59,0,26.05,0.0,0.0,0
NW_022881299.1,0,7,2,0,0,34.57,3.39,0,26.04,0.0,0.0,0
NW_022881486.1,0,6,2,0,0,37.88,0.09,0,28.93,0.0,0.0,0
NW_022881457.1,0,5,3,0,2,37.63,0.34,0,24.08,0.0,0.83,0
NW_022881409.1,0,6,2,0,0,38.1,0.13,0,28.17,0.0,0.0,0
NW_022881389.1,0,5,3,0,0,38.7,0.74,0,24.75,0.0,0.0,0
NW_022881340.1,0,6,2,0,0,34.02,3.95,0,24.21,0.0,0.0,0
NW_022881325.1,0,6,2,0,0,37.54,0.43,0,28.49,0.0,0.0,0
NW_022881317.1,0,6,2,0,0,37.76,0.21,0,26.18,0.0,0.0,0
NW_022881316.1,0,6,2,0,0,38.95,0.98,0,27.47,0.0,0.0,0
NW_022881313.1,0,6,2,0,0,37.95,0.01,0,25.22,0.0,0.0,0
NW_022881305.1,0,6,2,0,0,33.88,4.09,0,25.32,0.0,0.0,0
NW_022881295.1,0,6,2,0,0,35.87,2.09,0,22.21,0.0,0.0,0
NW_022881293.1,0,5,3,0,0,41.62,3.65,0,26.39,0.0,0.0,0
NW_022881345.1,0,18,8,0,2,39.29,1.32,0,74.57,0.0,0.27,0
NW_022881318.1,0,4,2,0,2,37.87,0.1,0,20.93,0.0,0.96,0
NW_022881454.1,0,4,2,0,0,41.27,3.31,0,24.31,0.0,0.0,0
NW_022881376.1,0,4,2,0,0,40.88,2.92,0,29.9,0.0,0.0,0
NW_022881359.1,0,4,2,0,0,41.49,3.52,0,25.38,0.0,0.0,0
NC_046672.1,17,60,33,115,134,43.21,5.24,1,23222.24,0.05,0.06,0
NW_022881579.1,0,3,1,0,0,40.41,2.45,0,389.87,0.0,0.0,0
NW_022881286.1,0,0,0,3,0,42.2,4.23,0,25.77,1.16,0.0,0
NW_022881549.1,0,1,1,0,0,41.92,3.95,0,222.24,0.0,0.0,0
NW_022881290.1,0,15,5,1,3,37.29,0.68,0,59.27,0.17,0.51,0
NC_046671.1,0,0,0,27,22,34.67,3.3,0,1160.6,0.23,0.19,0
NW_022881266.1,0,0,0,1,0,47.49,9.53,1,63.29,0.16,0.0,0
NC_046670.1,60,0,0,115,80,43.36,5.39,1,28872.86,0.04,0.03,0
NC_046668.1,84,101,2,71,82,43.48,5.51,1,23535.06,0.03,0.03,0
NW_023336274.1,0,1,1,25,25,30.51,19.49,1,30.95,8.08,8.08,1
NW_023336259.1,14,3,0,0,100,52.16,2.16,0,4949.6,0.0,0.2,0
NW_023336267.1,12,10,0,98,122,52.44,2.44,0,6315.02,0.16,0.19,0
NW_023336266.1,10,2,0,50,75,51.99,1.99,0,2982.61,0.17,0.25,0
NW_023336272.1,0,3,0,0,0,44.86,5.14,0,697.59,0.0,0.0,0
NW_023336260.1,6,7,0,0,25,50.72,0.72,0,4251.33,0.0,0.06,0
NW_023336265.1,6,4,0,25,50,51.81,1.81,0,3187.66,0.08,0.16,0
NW_023336263.1,7,7,1,18,0,51.48,1.48,0,3488.86,0.05,0.0,0
NW_023336261.1,6,8,0,49,56,52.33,2.33,0,4874.44,0.1,0.11,0
NW_003307477.1,0,1,1,25,25,28.3,22.71,1,42.45,5.89,5.89,1
NW_003307544.1,4,0,0,75,141,51.54,0.52,0,4146.99,0.18,0.34,0
NW_003307532.1,10,0,0,0,0,51.84,0.83,0,982.92,0.0,0.0,0
NW_003307540.1,5,0,0,45,86,51.55,0.54,0,3468.14,0.13,0.25,0
NW_003307493.1,0,2,1,0,0,48.77,2.24,0,4.61,0.0,0.0,0
NW_003307487.1,0,2,1,0,0,48.45,2.56,0,3.9,0.0,0.0,0
NW_003307542.1,3,0,0,1,27,51.55,0.53,0,3623.9,0.0,0.07,0
NW_003307539.1,1,1,1,50,25,51.87,0.86,0,2020.77,0.25,0.12,0
NW_003307536.1,1,0,0,1,0,51.65,0.64,0,2486.4,0.0,0.0,0
NW_003307538.1,11,0,0,44,26,51.6,0.59,0,2959.82,0.15,0.09,0
NW_003307537.1,1,0,0,41,32,51.69,0.68,0,2513.1,0.16,0.13,0
NW_015971901.1,0,0,0,25,13,30.89,7.79,1,5.95,42.02,21.85,1
NC_023293.1,0,1,1,25,25,13.69,9.41,1,29.62,8.44,8.44,1
NC_030103.1,1,0,0,25,75,24.15,1.05,0,624.16,0.4,1.2,0
NC_030106.1,2,1,1,25,54,23.82,0.71,0,916.96,0.27,0.59,0
NC_030104.1,2,0,0,0,25,23.82,0.72,0,794.01,0.0,0.31,0
NC_030109.1,1,3,0,26,51,23.65,0.55,0,1345.1,0.19,0.38,0
NC_030114.1,3,0,0,38,69,23.41,0.31,0,2514.83,0.15,0.27,0
NC_030112.1,2,0,0,29,51,23.44,0.33,0,1682.24,0.17,0.3,0
NC_030107.1,0,0,0,0,22,23.69,0.59,0,1169.07,0.0,0.19,0
NW_015971889.1,0,1,1,0,0,23.71,0.6,0,91.42,0.0,0.0,0
NW_015971887.1,0,1,1,0,0,22.98,0.12,0,25.26,0.0,0.0,0
NC_030110.1,4,3,0,50,20,23.71,0.61,0,1634.73,0.31,0.12,0
NC_030102.1,2,0,0,0,0,24.27,1.17,0,498.76,0.0,0.0,0
NC_030108.1,4,0,0,20,25,23.52,0.41,0,1360.2,0.15,0.18,0
NW_004504306.1,0,0,0,50,50,24.63,18.33,1,68.09,7.34,7.34,1
NW_004504310.1,10,5,0,145,121,46.06,3.1,0,8482.32,0.17,0.14,0
NW_004504312.1,4,1,0,28,109,47.43,4.46,0,3458.86,0.08,0.32,0
NW_004504311.1,7,3,0,58,63,45.6,2.63,0,3952.53,0.15,0.16,0
NW_004504309.1,8,1,0,92,47,46.33,3.36,0,5260.91,0.17,0.09,0
NW_004504307.1,8,20,2,25,50,45.65,2.69,0,3469.36,0.07,0.14,0
NC_027096.1,0,0,0,25,25,47.77,4.72,0,16.74,14.93,14.93,1
NW_024429050.1,0,0,0,25,25,66.55,14.06,1,120.27,2.08,2.08,0
NC_049169.1,34,4,0,674,20,39.96,12.53,1,209522.19,0.03,0.0,0
NC_049170.1,34,2,0,362,38,39.59,12.89,1,160819.97,0.02,0.0,0
NC_049172.1,2,0,0,150,31,39.56,12.93,1,77817.11,0.02,0.0,0
NC_054090.1,24,2,1,0,0,55.2,2.72,0,727.36,0.0,0.0,0
NW_024429060.1,0,0,0,5,0,37.79,14.69,1,207.78,0.24,0.0,0
NC_049181.1,2,2,0,8,0,42.73,9.75,0,21471.34,0.0,0.0,0
NC_049184.1,2,0,0,7,0,45.87,6.62,0,16306.52,0.0,0.0,0
NW_024429088.1,8,0,0,0,0,60.88,8.4,0,49.75,0.0,0.0,0
NW_024429078.1,0,0,0,40,0,44.8,7.68,0,2652.54,0.15,0.0,0
NW_024429058.1,0,0,0,1,0,39.55,12.93,1,21.42,0.47,0.0,0
NW_024429083.1,0,0,0,9,0,50.31,2.18,0,266.77,0.34,0.0,0
NW_024429076.1,0,0,0,37,25,45.74,6.74,0,1315.44,0.28,0.19,0
NW_024429073.1,0,0,0,25,0,44.66,7.83,0,1734.85,0.14,0.0,0
NC_054089.1,0,1,0,15,0,50.65,1.83,0,744.89,0.2,0.0,0
NC_049198.1,4,0,0,397,62,38.79,13.69,1,81481.36,0.05,0.01,0
NC_049191.1,0,0,0,3,0,50.98,1.51,0,7742.84,0.0,0.0,0
NW_024429074.1,0,0,0,37,25,43.2,9.28,0,1680.24,0.22,0.15,0
NW_024429070.1,0,0,0,23,0,44.33,8.16,0,1872.06,0.12,0.0,0
NC_054091.1,0,0,0,3,0,33.15,19.34,1,739.39,0.04,0.0,0
NC_049193.1,20,0,0,33,2,51.73,0.76,0,6703.96,0.05,0.0,0
NC_049174.1,33,0,0,101,1,41.09,11.4,0,40612.33,0.02,0.0,0
NC_049173.1,11,0,0,130,5,41.27,11.21,0,66082.19,0.02,0.0,0
NW_024429077.1,0,0,0,12,0,48.02,4.46,0,1193.44,0.1,0.0,0
NW_024429069.1,0,0,0,0,1,40.07,12.41,1,78.81,0.0,0.13,0
NW_024429064.1,0,0,0,1,0,39.56,12.92,1,87.18,0.11,0.0,0
NC_049199.1,0,0,0,28,2,43.62,8.87,0,4360.45,0.06,0.0,0
NC_049195.1,1,0,0,0,0,48.84,3.64,0,5774.74,0.0,0.0,0
NC_049194.1,4,0,0,2,25,51.44,1.04,0,5979.54,0.0,0.04,0
NC_049171.1,13,0,0,380,64,39.97,12.51,1,121075.66,0.03,0.01,0
NC_022508.1,0,0,0,25,25,40.47,1.23,0,16.61,15.05,15.05,1
NC_042533.1,34,0,0,4,0,41.65,0.05,0,16494.14,0.0,0.0,0
NC_042511.1,12,4,2,12,2,41.33,0.37,0,25313.58,0.0,0.0,0
NC_042524.1,24,0,0,4,1,41.03,0.67,0,22459.57,0.0,0.0,0
NC_042530.1,22,0,0,6,0,41.24,0.46,0,19088.84,0.0,0.0,0
NW_021780170.1,23,0,0,0,0,41.58,0.12,0,120.06,0.0,0.0,0
NC_042526.1,10,0,0,11,1,41.44,0.26,0,24564.7,0.0,0.0,0
NC_042532.1,7,0,0,8,0,41.69,0.01,0,21968.01,0.0,0.0,0
NC_042534.1,10,0,0,3,0,41.48,0.22,0,19509.53,0.0,0.0,0
NW_021780169.1,0,1,1,4,0,46.74,5.04,1,398.88,0.1,0.0,0
NW_021780168.1,81,1,0,5,0,41.78,0.08,0,1379.79,0.04,0.0,0
NC_042514.1,199,0,0,11,26,41.4,0.3,0,24574.46,0.0,0.01,0
NW_021780179.1,1,0,0,0,0,39.86,1.84,1,19.22,0.0,0.0,0
NW_021780173.1,0,0,0,2,0,40.77,0.93,0,37.62,0.53,0.0,0
NC_042515.1,18,1,1,43,4,41.25,0.45,0,26820.16,0.02,0.0,0
NW_008751656.1,0,2,2,25,25,25.88,23.14,1,26.0,9.61,9.61,1
NW_008751647.1,3,2,0,69,104,51.68,2.66,0,4219.12,0.16,0.25,0
NW_008751648.1,2,4,0,80,66,51.46,2.44,0,3712.2,0.22,0.18,0
NW_008751652.1,1,1,0,69,42,50.93,1.9,0,2701.01,0.26,0.16,0
NW_008751650.1,1,2,0,27,80,51.76,2.73,0,3507.95,0.08,0.23,0
NW_008751651.1,2,1,0,31,51,51.46,2.44,0,2894.16,0.11,0.18,0
NW_008751646.1,1,0,0,77,29,51.79,2.77,0,4245.25,0.18,0.07,0
NC_005789.1,0,0,0,25,14,18.81,28.92,1,23.57,10.61,5.94,1
NC_005788.4,12,157,1,75,50,51.19,3.46,0,1800.95,0.42,0.28,0
NC_005785.6,20,0,0,44,100,52.28,4.54,0,1467.29,0.3,0.68,0
NC_005783.5,5,0,0,28,73,51.42,3.69,0,870.77,0.32,0.84,0
NC_005786.2,15,0,0,48,52,51.39,3.66,0,1519.14,0.32,0.34,0
NC_005784.3,6,0,0,25,0,53.05,5.31,0,907.5,0.28,0.0,0
NC_005782.2,9,0,0,25,26,51.9,4.16,0,693.41,0.36,0.37,0
NC_005787.5,17,0,0,26,53,51.82,4.09,0,1836.69,0.14,0.29,0
NC_011032.1,3,6,6,75,75,38.57,6.58,1,135.2,5.55,5.55,1
NC_016131.3,73,10,7,913,2393,46.2,1.05,0,75071.55,0.12,0.32,0
NC_016134.3,48,91,6,574,1810,46.13,0.98,0,48594.89,0.12,0.37,0
NW_019841143.1,0,0,0,0,19,46.39,1.24,0,46.19,0.0,4.11,0
NC_016133.3,64,12,10,486,2084,46.28,1.13,0,59640.15,0.08,0.35,0
NC_016132.3,84,1,0,386,1913,46.39,1.23,0,59130.58,0.07,0.32,0
NC_016135.3,27,85,2,255,941,46.98,1.83,0,28630.14,0.09,0.33,0
NW_023395639.1,0,0,0,25,25,31.58,7.29,1,18.33,13.64,13.64,0
NC_023337.1,3,3,3,151,150,45.05,6.17,1,300.95,5.02,4.98,1
NC_007977.1,3,6,6,100,100,37.62,1.26,0,151.1,6.62,6.62,1
NW_023395575.1,0,0,0,0,25,37.58,1.29,0,33.43,0.0,7.48,0
NW_023395574.1,0,0,0,0,25,37.68,1.19,0,33.45,0.0,7.47,0
NC_035443.2,55,23,20,895,2311,37.93,0.95,0,189830.41,0.05,0.12,0
NW_023395556.1,0,0,0,0,3,32.93,5.95,1,38.04,0.0,0.79,0
NC_035447.2,43,9,9,666,2103,37.76,1.12,0,175671.32,0.04,0.12,0
NC_035445.2,23,20,17,699,1997,37.47,1.4,0,173487.27,0.04,0.12,0
NW_023395620.1,0,0,0,0,5,37.58,1.3,0,21.25,0.0,2.35,0
NC_035434.2,19,77,11,651,1917,38.1,0.77,0,174800.44,0.04,0.11,0
NC_035440.2,32,7,7,745,1744,37.8,1.08,0,167167.94,0.04,0.1,0
NC_035448.2,43,15,14,522,2320,37.78,1.1,0,206736.61,0.03,0.11,0
NC_035441.2,54,8,5,659,2064,37.56,1.32,0,189665.02,0.03,0.11,0
NC_035449.2,34,11,11,585,1979,37.77,1.11,0,195042.45,0.03,0.1,0
NC_035444.2,38,9,6,492,1828,37.92,0.95,0,163781.23,0.03,0.11,0
